aardvark, UKPRON, ˈɑːd.vɑːk
compulsory, UKPRON, kəmˈpʌl.sər.i
compunction, UKPRON, kəmˈpʌŋk.ʃən
computability, NA, Not in dictionary
computable, REF, compute
compute, UKPRON, kəmˈpjuːt
computably, NA, Not in dictionary
computation, UKPRON, ˌkɒm.pjəˈteɪ.ʃən
computational, UKPRON, kɒm.pjəˈteɪ.ʃən.əl
computationally, REF, computation
computation, UKPRON, ˌkɒm.pjəˈteɪ.ʃən
computations, REF, computation
computation, UKPRON, ˌkɒm.pjəˈteɪ.ʃən
compute, UKPRON, kəmˈpjuːt
computed, REF, compute
compute, UKPRON, kəmˈpjuːt
computer, UKPRON, kəmˈpjuː.tər
computerisation, REF, computerization
computerization, UKPRON, kəmˌpjuː.tər.aɪˈzeɪ.ʃən
computerise, REF, computerize
computerize, UKPRON, kəmˈpjuː.tər.aɪz
computerised, REF, computerize
computerize, UKPRON, kəmˈpjuː.tər.aɪz
computerising, REF, computerize
computerize, UKPRON, kəmˈpjuː.tər.aɪz
computerliterate, NA, Not in dictionary
computers, REF, computer
computer, UKPRON, kəmˈpjuː.tər
computes, REF, compute
compute, UKPRON, kəmˈpjuːt
computing, UKPRON, kəmˈpjuː.tɪŋ
comrade, UKPRON, ˈkɒm.reɪd
comradeinarms, NA, Not in dictionary
comradely, UKPRON, ˈkɒm.reɪd.li
comrades, REF, comrade
comrade, UKPRON, ˈkɒm.reɪd
comradeship, UKPRON, ˈkɒm.reɪd.ʃɪp
con, REF, convict
convict, UKPRON, kənˈvɪkt
con, UKPRON, kɒn
con, UKPRON, kɒn-
con, REF, conservative
conservative, UKPRON, kənˈsɜː.və.tɪv
conservative, UKPRON, kənˈsɜː.və.tɪv
conakry, NA, Not in dictionary
concatenate, UKPRON, kənˈkæt.ə.neɪt
concatenated, REF, concatenate
concatenate, UKPRON, kənˈkæt.ə.neɪt
concatenates, REF, concatenate
concatenate, UKPRON, kənˈkæt.ə.neɪt
concatenating, REF, concatenate
concatenate, UKPRON, kənˈkæt.ə.neɪt
concatenation, UKPRON, kənˈkæt.ə.neɪ.ʃən
concatenations, REF, concatenation
concatenation, UKPRON, kənˈkæt.ə.neɪ.ʃən
concave, UKPRON, ˈkɒŋ.keɪv
concavity, UKPRON, ˌkɒnˈkæv.ə.ti
conceal, UKPRON, kənˈsiːl
concealed, UKPRON, kənˈsiːld
concealing, REF, conceal
conceal, UKPRON, kənˈsiːl
concealment, UKPRON, kənˈsiːl.mənt
conceals, REF, conceal
conceal, UKPRON, kənˈsiːl
concede, UKPRON, kənˈsiːd
conceded, REF, concede
concede, UKPRON, kənˈsiːd
concedes, REF, concede
concede, UKPRON, kənˈsiːd
conceding, REF, concede
concede, UKPRON, kənˈsiːd
conceit, UKPRON, kənˈsiːt
conceited, UKPRON, kənˈsiː.tɪd
conceits, REF, conceit
conceit, UKPRON, kənˈsiːt
conceivability, NA, Not in dictionary
conceivable, UKPRON, kənˈsiː.və.bəl
conceivably, UKPRON, kənˈsiː.və.bli
conceive, UKPRON, kənˈsiːv
conceived, REF, conceive
conceive, UKPRON, kənˈsiːv
conceives, REF, conceive
conceive, UKPRON, kənˈsiːv
conceiving, REF, conceive
conceive, UKPRON, kənˈsiːv
concentrate, UKPRON, ˈkɒn.sən.treɪt
concentrated, UKPRON, ˈkɒn.sən.treɪ.tɪd
concentrates, REF, concentrate
concentrate, UKPRON, ˈkɒn.sən.treɪt
concentrating, REF, concentrate
concentrate, UKPRON, ˈkɒn.sən.treɪt
concentration, UKPRON, ˌkɒn.sənˈtreɪ.ʃən
concentrations, REF, concentration
concentration, UKPRON, ˌkɒn.sənˈtreɪ.ʃən
concentrator, NA, Not in dictionary
concentrators, NA, Not in dictionary
concentric, UKPRON, kənˈsen.trɪk
concept, UKPRON, ˈkɒn.sept
conception, UKPRON, kənˈsep.ʃən
conceptions, REF, conception
conception, UKPRON, kənˈsep.ʃən
concepts, REF, concept
concept, UKPRON, ˈkɒn.sept
conceptual, UKPRON, kənˈsep.tʃu.əl
conceptualisation, NA, Not in dictionary
conceptualisations, NA, Not in dictionary
conceptualise, REF, conceptualize
conceptualize, UKPRON, kənˈsep.tʃu.ə.laɪz
conceptualised, REF, conceptualize
conceptualize, UKPRON, kənˈsep.tʃu.ə.laɪz
conceptualising, REF, conceptualize
conceptualize, UKPRON, kənˈsep.tʃu.ə.laɪz
conceptually, UKPRON, kənˈsep.tʃu.ə.li
concern, UKPRON, kənˈsɜːn
concerned, UKPRON, kənˈsɜːnd
concernedly, UKPRON, kənˈsɜː.nɪd.li
concerning, UKPRON, kənˈsɜː.nɪŋ
concerns, REF, concern
concern, UKPRON, kənˈsɜːn
concert, UKPRON, ˈkɒn.sət
concerted, UKPRON, kənˈsɜː.tɪd
concertgoers, REF, concertgoer
concertgoer, UKPRON, ˈkɒn.sətˌɡəʊ.ər
concerti, REF, concerto
concerto, UKPRON, kənˈtʃɜː.təʊ
concertina, UKPRON, ˌkɒn.səˈtiː.nə
concerto, UKPRON, kənˈtʃɜː.təʊ
concerts, REF, concert
concert, UKPRON, ˈkɒn.sət
concession, UKPRON, kənˈseʃ.ən
concessional, UKPRON, kənˈseʃ.ən.əl
concessionary, UKPRON, kənˈseʃ.ən.ər.i
concessions, REF, concession
concession, UKPRON, kənˈseʃ.ən
concierge, UKPRON, ˌkɒn.siˈeəʒ
conciliar, NA, Not in dictionary
conciliate, UKPRON, kənˈsɪl.i.eɪt
conciliating, REF, conciliate
conciliate, UKPRON, kənˈsɪl.i.eɪt
conciliation, UKPRON, kənˌsɪl.iˈeɪ.ʃən
conciliator, UKPRON, kənˈsɪlieɪtər
conciliatory, UKPRON, kənˈsɪl.i.ə.tər.i
concise, UKPRON, kənˈsaɪs
concisely, UKPRON, kənˈsaɪs.li
conciseness, UKPRON, kənˈsaɪs.nəs
conclave, UKPRON, ˈkɒŋ.kleɪv
conclaves, REF, conclave
conclave, UKPRON, ˈkɒŋ.kleɪv
conclude, UKPRON, kənˈkluːd
concluded, REF, conclude
conclude, UKPRON, kənˈkluːd
concludes, REF, conclude
conclude, UKPRON, kənˈkluːd
concluding, UKPRON, kənˈkluː.dɪŋ
conclusion, UKPRON, kənˈkluː.ʒən
conclusions, REF, conclusion
conclusion, UKPRON, kənˈkluː.ʒən
conclusive, UKPRON, kənˈkluː.sɪv
conclusively, UKPRON, kənˈkluː.sɪv.li
concoct, UKPRON, kənˈkɒkt
concocted, REF, concoct
concoct, UKPRON, kənˈkɒkt
concocting, REF, concoct
concoct, UKPRON, kənˈkɒkt
concoction, UKPRON, kənˈkɒk.ʃən
concoctions, REF, concoction
concoction, UKPRON, kənˈkɒk.ʃən
concocts, REF, concoct
concoct, UKPRON, kənˈkɒkt
concomitant, UKPRON, kənˈkɒm.ɪ.tənt
concomitantly, UKPRON, kənˈkɒm.ɪ.tənt.li
concord, UKPRON, ˈkɒŋ.kɔːd
concordance, UKPRON, kənˈkɔː.dəns
concordances, REF, concordance
concordance, UKPRON, kənˈkɔː.dəns
concordant, UKPRON, kənˈkɔː.dənt
concordat, UKPRON, kənˈkɔː.dæt
concords, NA, Not in dictionary
concourse, UKPRON, ˈkɒŋ.kɔːs
concourses, REF, concourse
concourse, UKPRON, ˈkɒŋ.kɔːs
concrete, UKPRON, ˈkɒŋ.kriːt
concreted, REF, concrete
concrete, UKPRON, ˈkɒŋ.kriːt
concretely, UKPRON, kɒŋˈkriːt.li
concreteness, NA, Not in dictionary
concretes, REF, concrete
concrete, UKPRON, ˈkɒŋ.kriːt
concreting, REF, concrete
concrete, UKPRON, ˈkɒŋ.kriːt
concretions, NA, Not in dictionary
concubine, UKPRON, ˈkɒŋ.kjə.baɪn
concubines, REF, concubine
concubine, UKPRON, ˈkɒŋ.kjə.baɪn
concur, UKPRON, kənˈkɜːr
concurred, REF, concur
concur, UKPRON, kənˈkɜːr
concurrence, UKPRON, kənˈkʌr.əns
concurrency, NA, Not in dictionary
concurrent, UKPRON, kənˈkʌr.ənt
concurrently, UKPRON, kənˈkʌr.ənt.li
concurring, REF, concur
concur, UKPRON, kənˈkɜːr
concurs, REF, concur
concur, UKPRON, kənˈkɜːr
concuss, UKPRON, kənˈkʌs
concussed, UKPRON, kənˈkʌst
concussion, UKPRON, kənˈkʌʃ.ən
condemn, UKPRON, kənˈdem
condemnable, NA, Not in dictionary
condemnation, UKPRON, ˌkɒn.dəmˈneɪ.ʃən
condemnations, REF, condemnation
condemnation, UKPRON, ˌkɒn.dəmˈneɪ.ʃən
condemnatory, UKPRON, kənˈdem.nə.tri
condemned, UKPRON, kənˈdemd
condemning, REF, condemn
condemn, UKPRON, kənˈdem
condemns, REF, condemn
condemn, UKPRON, kənˈdem
condensate, UKPRON, ˈkɒn.dən.seɪt
condensation, UKPRON, ˌkɒn.denˈseɪ.ʃən
condensations, NA, Not in dictionary
condense, UKPRON, kənˈdens
condensed, UKPRON, kənˈdenst
condenser, UKPRON, kənˈden.sər
condensers, REF, condenser
condenser, UKPRON, kənˈden.sər
condenses, REF, condense
condense, UKPRON, kənˈdens
condensing, REF, condense
condense, UKPRON, kənˈdens
condescend, UKPRON, ˌkɒn.dɪˈsend
condescended, REF, condescend
condescend, UKPRON, ˌkɒn.dɪˈsend
condescending, UKPRON, ˌkɒn.dɪˈsen.dɪŋ
condescendingly, UKPRON, ˌkɒn.dɪˈsen.dɪŋ.li
condescends, REF, condescend
condescend, UKPRON, ˌkɒn.dɪˈsend
condescension, UKPRON, ˌkɒn.dɪˈsen.ʃən
condiment, UKPRON, ˈkɒn.dɪ.mənt
condiments, REF, condiment
condiment, UKPRON, ˈkɒn.dɪ.mənt
condition, UKPRON, kənˈdɪʃ.ən
conditional, UKPRON, kənˈdɪʃ.ən.əl
conditionality, NA, Not in dictionary
conditionally, UKPRON, kənˈdɪʃ.ən.əl.i
conditionals, REF, conditional
conditional, UKPRON, kənˈdɪʃ.ən.əl
conditioned, REF, condition
condition, UKPRON, kənˈdɪʃ.ən
conditioner, UKPRON, kənˈdɪʃ.ən.ər
conditioners, REF, conditioner
conditioner, UKPRON, kənˈdɪʃ.ən.ər
conditioning, UKPRON, kənˈdɪʃ.ən.ɪŋ
conditions, NA, No UK prononciation
condole, UKPRON, kənˈdəʊl
condoled, REF, condole
condole, UKPRON, kənˈdəʊl
condolence, UKPRON, kənˈdəʊ.ləns
condolences, REF, condolence
condolence, UKPRON, kənˈdəʊ.ləns
condoles, REF, condole
condole, UKPRON, kənˈdəʊl
condonable, NA, Not in dictionary
condone, UKPRON, kənˈdəʊn
condoned, REF, condone
condone, UKPRON, kənˈdəʊn
condones, REF, condone
condone, UKPRON, kənˈdəʊn
condoning, REF, condone
condone, UKPRON, kənˈdəʊn
condor, UKPRON, ˈkɒn.dɔːr
condors, REF, condor
condor, UKPRON, ˈkɒn.dɔːr
conducive, UKPRON, kənˈdʒuː.sɪv
conduct, UKPRON, kənˈdʌkt
conductance, NA, Not in dictionary
conducted, REF, conduct
conduct, UKPRON, kənˈdʌkt
conducting, REF, conduct
conduct, UKPRON, kənˈdʌkt
conduction, UKPRON, kənˈdʌk.ʃən
conductive, UKPRON, kənˈdʌk.tɪv
conductivities, NA, Not in dictionary
conductivity, UKPRON, ˌkɒn.dʌkˈtɪv.ə.ti
conductor, UKPRON, kənˈdʌk.tər
conductors, REF, conductor
conductor, UKPRON, kənˈdʌk.tər
conductress, NA, Not in dictionary
conducts, REF, conduct
conduct, UKPRON, kənˈdʌkt
conduit, UKPRON, ˈkɒn.dʒuː.ɪt
conduits, REF, conduit
conduit, UKPRON, ˈkɒn.dʒuː.ɪt
cone, UKPRON, kəʊn
coned, REF, cone-sth-off
cone-sth-off, UKPRON, kəʊn
cones, REF, cone
cone, UKPRON, kəʊn
confabulate, UKPRON, kənˈfæb.jə.leɪt
confection, UKPRON, kənˈfek.ʃən
confectioner, UKPRON, kənˈfek.ʃən.ər
confectioners, REF, confectioner
confectioner, UKPRON, kənˈfek.ʃən.ər
confectionery, UKPRON, kənˈfek.ʃən.ri
confectionist, NA, Not in dictionary
confections, REF, confection
confection, UKPRON, kənˈfek.ʃən
confederacy, UKPRON, kənˈfed.ər.ə.si
confederacy, UKPRON, ˌkənˈfed.ər.ə.si
confederate, UKPRON, kənˈfed.ər.ət
confederates, REF, confederate
confederate, UKPRON, kənˈfed.ər.ət
confederation, UKPRON, kənˌfed.əˈreɪ.ʃən
confederations, REF, confederation
confederation, UKPRON, kənˌfed.əˈreɪ.ʃən
confer, UKPRON, kənˈfɜːr
conference, UKPRON, ˈkɒn.fər.əns
conferences, REF, conference
conference, UKPRON, ˈkɒn.fər.əns
conferencing, UKPRON, ˈkɒnfərənsɪŋ
conferment, UKPRON, kənˈfɜː.mənt
conferred, REF, confer
confer, UKPRON, kənˈfɜːr
conferring, REF, confer
confer, UKPRON, kənˈfɜːr
confers, REF, confer
confer, UKPRON, kənˈfɜːr
confess, UKPRON, kənˈfes
confessed, REF, confess
confess, UKPRON, kənˈfes
confesses, REF, confess
confess, UKPRON, kənˈfes
confessing, REF, confess
confess, UKPRON, kənˈfes
confession, UKPRON, kənˈfeʃ.ən
confessional, UKPRON, kənˈfeʃ.ən.əl
confessionals, REF, confessional
confessional, UKPRON, kənˈfeʃ.ən.əl
confessions, REF, confession
confession, UKPRON, kənˈfeʃ.ən
confessor, UKPRON, kənˈfes.ər
confessors, REF, confessor
confessor, UKPRON, kənˈfes.ər
confetti, UKPRON, kənˈfet.i
confidant, UKPRON, ˈkɒn.fɪ.dænt
confidante, REF, confidant
confidant, UKPRON, ˈkɒn.fɪ.dænt
confidantes, REF, confidant
confidant, UKPRON, ˈkɒn.fɪ.dænt
confidants, REF, confidant
confidant, UKPRON, ˈkɒn.fɪ.dænt
confide, UKPRON, kənˈfaɪd
confided, REF, confide
confide, UKPRON, kənˈfaɪd
confidence, UKPRON, ˈkɒn.fɪ.dəns
confidences, REF, confidence
confidence, UKPRON, ˈkɒn.fɪ.dəns
confident, UKPRON, ˈkɒn.fɪ.dənt
confidential, UKPRON, ˌkɒn.fɪˈden.ʃəl
confidentiality, UKPRON, ˌkɒn.fɪ.den.ʃiˈæl.ə.ti
confidentially, UKPRON, ˌkɒn.fɪˈden.ʃəl.i
confidently, UKPRON, ˈkɒn.fɪ.dənt.li
confides, REF, confide
confide, UKPRON, kənˈfaɪd
confiding, UKPRON, kənˈfaɪ.dɪŋ
confidingly, UKPRON, kənˈfaɪ.dɪŋ.li
configurable, NA, Not in dictionary
configuration, UKPRON, kənˌfɪɡ.əˈreɪ.ʃən
configurations, REF, configuration
configuration, UKPRON, kənˌfɪɡ.əˈreɪ.ʃən
configure, UKPRON, kənˈfɪɡ.ər
configured, REF, configure
configure, UKPRON, kənˈfɪɡ.ər
configures, REF, configure
configure, UKPRON, kənˈfɪɡ.ər
configuring, REF, configure
configure, UKPRON, kənˈfɪɡ.ər
confine, UKPRON, kənˈfaɪn
confined, REF, confine
confine, UKPRON, kənˈfaɪn
confinement, REF, labour
labour, UKPRON, ˈleɪ.bər
labour, UKPRON, ˈleɪ.bər
confinement, UKPRON, kənˈfaɪn.mənt
confinements, NA, Not in dictionary
confines, UKPRON, ˈkɒn.faɪnz
confining, REF, confine
confine, UKPRON, kənˈfaɪn
confirm, UKPRON, kənˈfɜːm
confirmation, UKPRON, ˌkɒn.fəˈmeɪ.ʃən
confirmations, REF, confirmation
confirmation, UKPRON, ˌkɒn.fəˈmeɪ.ʃən
confirmatory, UKPRON, kənˈfɜː.mə.tər.i
confirmed, UKPRON, kənˈfɜːmd
confirming, REF, confirm
confirm, UKPRON, kənˈfɜːm
confirms, REF, confirm
confirm, UKPRON, kənˈfɜːm
confiscate, UKPRON, ˈkɒn.fɪ.skeɪt
confiscated, REF, confiscate
confiscate, UKPRON, ˈkɒn.fɪ.skeɪt
confiscates, REF, confiscate
confiscate, UKPRON, ˈkɒn.fɪ.skeɪt
confiscating, REF, confiscate
confiscate, UKPRON, ˈkɒn.fɪ.skeɪt
confiscation, UKPRON, ˌkɒn.fɪˈskeɪ.ʃən
confiscations, REF, confiscation
confiscation, UKPRON, ˌkɒn.fɪˈskeɪ.ʃən
confiscatory, UKPRON, kənˈfɪskətəri
conflagration, UKPRON, ˌkɒn.fləˈɡreɪ.ʃən
conflagrations, REF, conflagration
conflagration, UKPRON, ˌkɒn.fləˈɡreɪ.ʃən
conflated, REF, conflate
conflate, UKPRON, kənˈfleɪt
conflates, REF, conflate
conflate, UKPRON, kənˈfleɪt
conflating, REF, conflate
conflate, UKPRON, kənˈfleɪt
conflation, UKPRON, kənˈfleɪ.ʃən
conflict, UKPRON, ˈkɒn.flɪkt
conflicted, UKPRON, kənˈflɪk.tɪd
conflicting, UKPRON, kənˈflɪk.tɪŋ
conflictingly, NA, Not in dictionary
conflicts, REF, conflict
conflict, UKPRON, ˈkɒn.flɪkt
conflictual, NA, Not in dictionary
confluence, UKPRON, ˈkɒn.fluː.əns
confluent, NA, Not in dictionary
confocal, NA, Not in dictionary
conform, UKPRON, kənˈfɔːm
conformable, NA, Not in dictionary
conformal, REF, conformal-map
conformal-map, NA, Not in dictionary
conformance, REF, conformity
conformity, UKPRON, kənˈfɔː.mə.ti
conformance, UKPRON, kənˈfɔː.məns
conformation, UKPRON, ˌkɒn.fɔːˈmeɪ.ʃən
conformational, NA, Not in dictionary
conformed, REF, conform
conform, UKPRON, kənˈfɔːm
conforming, REF, conform
conform, UKPRON, kənˈfɔːm
conformism, NA, Not in dictionary
conformist, UKPRON, kənˈfɔː.mɪst
conformists, REF, conformist
conformist, UKPRON, kənˈfɔː.mɪst
conformity, UKPRON, kənˈfɔː.mə.ti
conforms, REF, conform
conform, UKPRON, kənˈfɔːm
confound, UKPRON, kənˈfaʊnd
confounded, UKPRON, kənˈfaʊn.dɪd
confoundedly, NA, Not in dictionary
confounding, REF, confound
confound, UKPRON, kənˈfaʊnd
confounds, REF, confound
confound, UKPRON, kənˈfaʊnd
confront, UKPRON, kənˈfrʌnt
confrontation, UKPRON, ˌkɒn.frʌnˈteɪ.ʃən
confrontational, UKPRON, ˌkɒn.frʌnˈteɪ.ʃən.əl
confrontations, REF, confrontation
confrontation, UKPRON, ˌkɒn.frʌnˈteɪ.ʃən
confronted, UKPRON, kənˈfrʌn.tɪd
confronting, UKPRON, kənˈfrʌn.tɪŋ
confronts, REF, confront
confront, UKPRON, kənˈfrʌnt
confusable, REF, confuse
confuse, UKPRON, kənˈfjuːz
confuse, UKPRON, kənˈfjuːz
confused, UKPRON, kənˈfjuːzd
confusedly, NA, Not in dictionary
confuser, NA, Not in dictionary
confuses, REF, confuse
confuse, UKPRON, kənˈfjuːz
confusing, UKPRON, kənˈfjuː.zɪŋ
confusingly, NA, Not in dictionary
confusion, UKPRON, kənˈfjuː.ʒən
confusions, REF, confusion
confusion, UKPRON, kənˈfjuː.ʒən
conga, UKPRON, ˈkɒŋ.ɡə
congeal, UKPRON, kənˈdʒiːl
congealed, UKPRON, kənˈdʒiːld
congealing, REF, congeal
congeal, UKPRON, kənˈdʒiːl
congeals, REF, congeal
congeal, UKPRON, kənˈdʒiːl
congenial, UKPRON, kənˈdʒiː.ni.əl
congeniality, UKPRON, kənˌdʒiː.niˈæl.ə.ti
congenital, UKPRON, kənˈdʒen.ɪ.təl
congenitally, NA, Not in dictionary
conger, REF, conger-eel
conger-eel, UKPRON, ˌkɒŋ.ɡər ˈiːl
congest, UKPRON, kənˈdʒest
congested, UKPRON, kənˈdʒes.tɪd
congesting, REF, congest
congest, UKPRON, kənˈdʒest
congestion, UKPRON, kənˈdʒes.tʃən
congestive, UKPRON, kənˈdʒəst.ɪv
conglomerate, UKPRON, kənˈɡlɒm.ər.ət
conglomerated, NA, Not in dictionary
conglomerates, REF, conglomerate
conglomerate, UKPRON, kənˈɡlɒm.ər.ət
conglomeration, UKPRON, kənˌɡlɒm.ərˈeɪ.ʃən
congo, UKPRON, ˈkɒŋ.ɡəʊ
congratulate, UKPRON, kənˈɡrætʃ.ə.leɪt
congratulated, REF, congratulate
congratulate, UKPRON, kənˈɡrætʃ.ə.leɪt
congratulates, REF, congratulate
congratulate, UKPRON, kənˈɡrætʃ.ə.leɪt
congratulating, REF, congratulate
congratulate, UKPRON, kənˈɡrætʃ.ə.leɪt
congratulation, UKPRON, kənˌɡrætʃ.əˈleɪ.ʃən
congratulations, NA, No UK prononciation
congratulatory, UKPRON, kənˌɡrætʃ.əˈleɪ.tər.i
congregate, UKPRON, ˈkɒŋ.ɡrɪ.ɡeɪt
congregated, REF, congregate
congregate, UKPRON, ˈkɒŋ.ɡrɪ.ɡeɪt
congregating, REF, congregate
congregate, UKPRON, ˈkɒŋ.ɡrɪ.ɡeɪt
congregation, UKPRON, ˌkɒŋ.ɡrɪˈɡeɪ.ʃən
congregational, UKPRON, ˌkɒŋ.ɡrɪˈɡeɪ.ʃən.əl
congregations, REF, congregation
congregation, UKPRON, ˌkɒŋ.ɡrɪˈɡeɪ.ʃən
congress, UKPRON, ˈkɒŋ.ɡres
congress, UKPRON, ˈkɒŋ.ɡres
congresses, REF, congress
congress, UKPRON, ˈkɒŋ.ɡres
congress, UKPRON, ˈkɒŋ.ɡres
congressional, UKPRON, kəŋˈɡreʃ.ən.əl
congressman, UKPRON, ˈkɒŋ.ɡres.mən
congressmen, REF, congressman
congressman, UKPRON, ˈkɒŋ.ɡres.mən
congruence, UKPRON, ˈkɒŋ.ɡru.əns
congruences, NA, Not in dictionary
congruency, REF, congruence
congruence, UKPRON, ˈkɒŋ.ɡru.əns
congruent, UKPRON, ˈkɒŋ.ɡru.ənt
congruential, NA, Not in dictionary
congruity, UKPRON, kɒŋˈɡruː.ə.ti
conic, REF, conical
conical, UKPRON, ˈkɒn.ɪ.kəl
conical, UKPRON, ˈkɒn.ɪ.kəl
conics, NA, Not in dictionary
conifer, UKPRON, ˈkɒn.ɪ.fər
coniferous, UKPRON, kəˈnɪf.ər.əs
conifers, REF, conifer
conifer, UKPRON, ˈkɒn.ɪ.fər
conjectural, UKPRON, kənˈdʒek.tʃə.rəl
conjecture, UKPRON, kənˈdʒek.tʃər
conjectured, REF, conjecture
conjecture, UKPRON, kənˈdʒek.tʃər
conjectures, REF, conjecture
conjecture, UKPRON, kənˈdʒek.tʃər
conjecturing, REF, conjecture
conjecture, UKPRON, kənˈdʒek.tʃər
conjoin, UKPRON, kənˈdʒɔɪn
conjoined, UKPRON, kənˈdʒɔɪnd
conjoining, NA, Not in dictionary
conjoint, REF, conjoint-analysis
conjoint-analysis, NA, No UK phonetics
conjugacy, NA, Not in dictionary
conjugal, UKPRON, ˈkɒn.dʒə.ɡəl
conjugate, UKPRON, ˈkɒn.dʒə.ɡeɪt
conjugated, REF, conjugate
conjugate, UKPRON, ˈkɒn.dʒə.ɡeɪt
conjugates, REF, conjugate
conjugate, UKPRON, ˈkɒn.dʒə.ɡeɪt
conjugating, REF, conjugate
conjugate, UKPRON, ˈkɒn.dʒə.ɡeɪt
conjugation, UKPRON, ˌkɒn.dʒəˈɡeɪ.ʃən
conjugations, REF, conjugation
conjugation, UKPRON, ˌkɒn.dʒəˈɡeɪ.ʃən
conjunct, NA, Not in dictionary
conjunction, UKPRON, kənˈdʒʌŋk.ʃən
conjunctions, REF, conjunction
conjunction, UKPRON, kənˈdʒʌŋk.ʃən
conjunctive, UKPRON, kənˈdʒʌŋk.tɪv
conjunctivitis, UKPRON, kənˌdʒʌŋk.tɪˈvaɪ.tɪs
conjunctures, REF, conjuncture
conjuncture, UKPRON, kənˈdʒʌŋk.tʃər
conjure, UKPRON, ˈkʌn.dʒər
conjured, REF, conjure
conjure, UKPRON, ˈkʌn.dʒər
conjurer, UKPRON, ˈkʌn.dʒər.ər
conjurers, REF, conjurer
conjurer, UKPRON, ˈkʌn.dʒər.ər
conjures, REF, conjure
conjure, UKPRON, ˈkʌn.dʒər
conjuring, REF, conjure
conjure, UKPRON, ˈkʌn.dʒər
conjuror, REF, conjurer
conjurer, UKPRON, ˈkʌn.dʒər.ər
conjurors, REF, conjurer
conjurer, UKPRON, ˈkʌn.dʒər.ər
conjury, NA, Not in dictionary
conk, UKPRON, kɒŋk
conker, UKPRON, ˈkɒŋ.kər
conkers, REF, conker
conker, UKPRON, ˈkɒŋ.kər
conman, UKPRON, ˈkɒnmæn
conmen, NA, Not in dictionary
connect, UKPRON, kəˈnekt
connected, UKPRON, kəˈnek.tɪd
connectedness, UKPRON, kəˈnektɪdnəs
connecting, UKPRON, kəˈnek.tɪŋ
connection, UKPRON, kəˈnek.ʃən
connectionless, NA, Not in dictionary
connections, REF, connection
connection, UKPRON, kəˈnek.ʃən
connective, UKPRON, kəˈnek.tɪv
connectives, NA, Not in dictionary
connectivity, UKPRON, ˌkɒn.ekˈtɪv.ə.ti
connector, UKPRON, kəˈnek.tər
connectors, REF, connector
connector, UKPRON, kəˈnek.tər
connects, REF, connect
connect, UKPRON, kəˈnekt
conned, REF, con
con, REF, convict
convict, UKPRON, kənˈvɪkt
con, UKPRON, kɒn
con, UKPRON, kɒn-
con, REF, conservative
conservative, UKPRON, kənˈsɜː.və.tɪv
conservative, UKPRON, kənˈsɜː.və.tɪv
connexion, REF, connection
connection, UKPRON, kəˈnek.ʃən
connexion, UKPRON, kəˈnek.ʃən
connexions, NA, Not in dictionary
connivance, UKPRON, kəˈnaɪ.vəns
connive, UKPRON, kəˈnaɪv
connived, REF, connive
connive, UKPRON, kəˈnaɪv
conniving, UKPRON, kəˈnaɪ.vɪŋ
connoisseur, UKPRON, ˌkɒn.əˈsɜːr
connoisseurs, REF, connoisseur
connoisseur, UKPRON, ˌkɒn.əˈsɜːr
connoisseurship, NA, Not in dictionary
connotation, UKPRON, ˌkɒn.əˈteɪ.ʃən
connotations, REF, connotation
connotation, UKPRON, ˌkɒn.əˈteɪ.ʃən
connote, UKPRON, kəˈnəʊt
connoted, REF, connote
connote, UKPRON, kəˈnəʊt
connotes, REF, connote
connote, UKPRON, kəˈnəʊt
connoting, REF, connote
connote, UKPRON, kəˈnəʊt
conquer, UKPRON, ˈkɒŋ.kər
conquerable, UKPRON, ˈkɒŋ.kər.ə.bəl
conquered, REF, conquer
conquer, UKPRON, ˈkɒŋ.kər
conquering, REF, conquer
conquer, UKPRON, ˈkɒŋ.kər
conqueror, UKPRON, ˈkɒŋ.kər.ər
conquerors, REF, conqueror
conqueror, UKPRON, ˈkɒŋ.kər.ər
conquers, REF, conquer
conquer, UKPRON, ˈkɒŋ.kər
conquest, UKPRON, ˈkɒŋ.kwest
conquests, REF, conquest
conquest, UKPRON, ˈkɒŋ.kwest
conquistador, UKPRON, kɒnˈkwɪs.tə.dɔːr
conquistadores, NA, Not in dictionary
cons, REF, con
con, REF, convict
convict, UKPRON, kənˈvɪkt
con, UKPRON, kɒn
con, UKPRON, kɒn-
con, REF, conservative
conservative, UKPRON, kənˈsɜː.və.tɪv
conservative, UKPRON, kənˈsɜː.və.tɪv
consanguineous, UKPRON, ˌkɒn.sæŋˈɡwɪn.i.əs
consanguinity, UKPRON, ˌkɒn.sæŋˈɡwɪn.ə.ti
conscience, UKPRON, ˈkɒn.ʃəns
consciences, REF, conscience
conscience, UKPRON, ˈkɒn.ʃəns
consciencestricken, NA, Not in dictionary
conscientious, UKPRON, ˌkɒn.ʃiˈen.ʃəs
conscientiously, UKPRON, ˌkɒn.ʃiˈen.ʃəs.li
conscientiousness, UKPRON, ˌkɒn.ʃiˈen.ʃəs.nəs
conscionable, NA, Not in dictionary
conscious, UKPRON, ˈkɒn.ʃəs
conscious, UKPRON,  -kɒn.ʃəs
consciously, UKPRON, ˈkɒn.ʃəs.li
consciousness, UKPRON, ˈkɒn.ʃəs.nəs
consciousnesses, NA, Not in dictionary
conscript, UKPRON, kənˈskrɪpt
